chr,start,end,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10
chr2,40297693,40749869,-0.180360968,0.867054877,0.145259892,0.615129039,-0.825094133,-0.578475268,0.196614564,0.045937919,0.089761507,-0.377668376
chr2,45004758,51519549,0.250961962,-0.054854579,-1.11866667,-0.55357039,0.722125565,-0.314289616,-0.658854763,-0.20655966,-0.053145006,-0.590919343
chr2,53774718,54015756,-0.416475641,-0.640050359,-0.543825896,0.108936996,0.642859405,0.2007849,1.279984341,0.144246957,0.10470998,0.152224932
chr2,56050174,56291927,-0.741599374,-1.194910471,0.571320512,-0.000608323,0.444265637,0.514004913,-0.603422101,0.253586274,-0.187314733,-0.350258936
chr2,57733626,57752017,0.629066035,0.394130094,-0.074330239,-0.225471001,-0.663755909,0.081125527,-0.868146708,-0.460931149,0.553098869,-0.604927305
chr2,58872458,59324126,0.215052826,-0.042637927,-0.132952433,-0.223664289,-0.002920739,-0.536631917,-0.104108523,-0.218850522,1.034278111,-0.558041677
chr2,62638118,62813408,0.489736634,0.025078834,-0.310161891,0.261659415,0.955343802,-0.370849783,-0.008986353,0.104223202,-0.406038073,-0.311226965
chr2,63624013,63706287,0.035265703,-0.305351952,0.776039134,-0.11046587,-0.578999972,0.256525722,-0.29780042,-0.156028401,-0.348906547,-0.31309748
chr2,65978256,70931986,-0.188132489,0.492775179,-0.775366803,0.128786932,-0.685584289,0.956646426,-0.873274793,0.548893507,0.808097615,0.965846511
chr2,73314439,73955292,-0.397514868,-0.269084565,-0.164766959,-0.320286583,-0.391501034,0.318538747,0.094212718,0.781179627,-0.062980246,-0.01790135
chr2,75481640,75936331,0.466586327,0.022936084,0.088438872,0.930089472,0.199908623,0.154176583,-0.114410886,-0.089865276,0.645188865,-0.049606392
chr2,78216445,79653028,0.378494096,-0.880901867,-0.876305999,0.293997957,0.699655351,0.144288422,0.615290099,0.425033061,0.313680045,0.359577856
chr2,82272767,83676636,0.455118452,-0.440361483,-0.082544111,-0.620449089,-0.251254993,-0.514263561,-0.076677355,0.057965038,0.114496304,0.08155084
chr2,84846839,85859634,0.556049816,-0.048231767,-0.79063781,-0.502661493,-0.2017041,0.300898049,0.061084106,0.427249987,-0.086770076,-0.700483664
chr2,88346092,89800356,-0.159003974,0.38913607,-0.416610341,-0.399925619,0.615052009,0.12613475,-0.737306984,-0.352209768,0.352001802,1.431093681
chr2,90215225,91370459,-0.411039768,-0.382900829,0.596322426,-0.105075415,0.244508522,-0.377589043,-0.111477012,-0.62843918,0.368307284,-0.143732447
chr2,91630766,93998852,0.167346953,0.076041138,-0.855674676,0.698328361,-0.019778639,0.301871084,-0.189070319,-0.230847567,0.509235562,-0.592182162
chr2,95894781,96972403,0.663385027,0.331365678,0.199990033,-0.318109321,0.015182245,0.17005237,0.169006901,0.015317777,-0.490124515,0.229588932
chr2,97774122,99289146,0.486795222,0.49264653,-0.281462994,-0.348797677,-0.61761496,-0.029311291,-0.004988641,-0.203367956,0.661780501,-0.000226873
chr2,100586983,102364573,-0.543984416,-0.135660629,-0.372046644,0.385202859,0.478934666,0.256449942,0.056782816,0.786876909,-0.231543102,-0.281371973
chr2,104196199,104566233,-0.800779525,0.560107743,-0.103903016,1.182743773,-0.135615526,0.880059758,-0.37995691,0.007259948,0.86055595,-0.415131776
chr2,105949945,107343631,0.42054378,0.188990119,0.436194039,0.534598621,-0.946110194,-0.661477575,-0.215933557,0.281244568,0.209646285,-1.043637693
chr2,107424105,107605385,-0.511432481,0.224812626,-0.505811555,-0.69783852,-0.549019654,-0.216370118,-0.858997647,-0.698085747,0.209334502,0.078261379
chr2,109437426,116043922,0.882357499,0.072162114,0.317879306,0.103496581,-0.553571279,-0.323660135,0.459759634,0.448147238,-1.025182238,-0.02075162
chr2,116120429,116147211,-0.357211958,-0.683084443,0.7195082,0.370937319,0.318238051,0.436532854,0.017975483,-0.393268565,0.095310342,0.440215503
chr2,116218648,116758112,0.159886615,-0.62363127,-0.458892177,-0.687928349,0.22803278,-0.215585737,-0.386642411,-1.059203656,0.74241378,-0.106571423
chr2,118707039,120124097,0.006073362,0.222087915,0.21048333,-0.053712419,-0.051819513,0.388890165,-0.19923531,-0.297285682,0.07125317,-0.059699138
chr2,120770528,122301260,0.424324103,-0.740778921,0.46164432,0.168107164,0.315626839,-0.638391971,0.412601532,0.073480952,-0.513016078,0.390931491
chr2,122862982,123097122,-0.111039739,-0.779651281,-0.77274305,-0.087231952,-0.474131578,0.843332257,1.006209469,0.4076115,-0.416871955,-0.190232559
chr2,124789218,125036703,0.463744028,0.324633911,0.582215898,0.416307402,-0.151671296,0.223747352,0.746588068,-0.629958131,0.687773965,-0.302850332
chr2,125434413,125998580,-0.178907546,0.474473343,-0.289558248,0.43857345,0.26295415,0.070819367,0.441202839,-0.081873322,-0.008293656,0.558222916
chr2,128925006,129239313,0.368712102,0.633131612,-0.270538773,0.606576883,-0.299080384,0.077859958,-0.498872682,-0.141769887,0.725348315,-0.391957956
chr2,134997978,138085604,0.122044459,0.150155695,0.497544615,0.522825192,0.155501176,-0.200933304,-1.122836188,0.743076709,0.415339668,0.153282168
chr2,143130418,143138461,-0.707354653,0.609554476,-0.147105986,0.357302249,0.102007771,0.071223033,0.166373506,-1.187905804,-0.575780892,0.112206744
chr2,143214779,147757206,-0.371746242,-0.240611204,-0.729802239,-0.028276307,0.235409032,0.373297481,-0.796511318,-0.142749044,0.187696498,-0.146143191
chr2,149303901,152987208,1.269844052,0.546570124,1.16337241,-0.064530789,0.014152585,-0.213033506,0.549847021,-0.00708104,-0.635759335,0.536491269
chr2,153804956,154109956,0.50464901,-0.288132743,0.483129147,-0.758464288,-1.022701203,-0.101228972,-0.383091851,0.33874188,0.645452802,0.405455872
chr2,154953072,160137783,-0.561612068,-0.15157354,0.305062256,-0.796886602,0.554979235,-1.217062897,0.313971851,-0.891275545,0.401825841,0.46495161
chr2,160980339,162820177,-0.035365286,-0.402357233,1.009125998,-0.464152359,0.602409185,-0.153794927,-0.23059685,0.199044263,-0.13838585,-0.269064078
chr2,168448834,168582984,0.569425843,-0.045218109,-0.667792149,-0.368672465,0.031700307,0.375061201,0.808174737,-0.263300274,-0.258707825,0.569908995
chr2,168897995,170158888,0.330876448,-0.560874743,-0.076814324,-0.202208817,0.23535511,-0.266701872,0.077214429,0.273955711,0.669241947,-0.605206811
chr2,171223222,171418106,0.768228186,0.186006437,0.041879926,-0.394698615,0.289253781,-0.064462768,-0.199752497,-0.701933537,-0.385395266,0.271701657
chr2,173979090,174133388,-0.214605406,0.055159844,-0.2707179,0.231338746,0.197085236,-0.783961845,0.430134043,0.175414775,-0.243720933,0.032750056
chr2,175328226,175471996,0.127184257,0.250420932,-0.088207654,-0.363232558,-0.5702545,-0.329650238,-0.149334651,0.836546032,-1.037804855,-0.123891074
chr2,175948557,176362420,-0.053824164,0.164234995,-0.239154735,0.134940276,-0.542709337,0.523846837,0.161906534,0.039263825,0.214767769,1.011942204
chr2,177426540,178752389,-0.363157315,-0.943727582,-0.417415704,-0.568543398,0.0486131,-0.56802978,0.120571462,-0.411905549,-0.372816833,-0.122531193
chr2,178818915,178977410,0.356571305,-0.468020924,-0.106044267,-0.259440647,-0.474276978,0.431698583,-0.157282376,0.043143079,-1.21357083,0.309399681
chr2,180024066,183143484,0.753479812,-0.621015479,-0.209260121,0.170517401,-0.425591859,-1.098241783,-0.272816749,0.232158398,-1.029358077,-0.24899234
chr2,183154579,184359746,-0.422610556,-0.163317657,0.10606581,0.189636211,-0.854892917,0.109472295,-0.403191388,0.108599789,0.460564617,-0.162425634
chr2,184831213,189216904,0.491525234,-0.894025003,0.119920501,0.189145088,-0.166018384,0.893540856,0.639358942,-0.585403246,0.19289355,0.917462745
chr2,191570776,192002639,0.560112315,0.620312342,0.221710342,-0.069335983,0.406584653,0.024127165,0.252891048,-0.20264326,-0.325956529,0.582630771
chr2,196476125,197178786,-0.482773823,0.996663493,0.656465877,0.532308201,0.417383519,0.43227552,-0.355609723,-0.657683162,0.326947952,-0.386457191
chr2,198219368,198828917,0.520056973,0.481284238,-0.886640778,0.445711809,-0.129615311,0.613925558,-0.638742379,-0.686161955,-0.79101897,-0.282631459
chr2,198836191,202016895,-0.021841291,1.098932855,0.283110019,0.142005298,0.801995101,0.372374729,-0.039822695,-0.493211061,-0.38636772,-0.100003141
chr2,202152595,203251210,0.085752937,-0.471763393,-0.057603678,0.203833413,-0.151007149,-0.037029775,-0.438542971,0.125826301,1.024189189,0.739855046
chr2,204814698,204875731,-0.94809513,-0.108469391,-0.45819566,0.073857366,-0.403274394,0.88992875,-0.124591158,0.728804757,-0.611226891,-0.645525367
chr2,205181691,206588932,-0.059647802,-0.375706732,0.46522033,-0.088554143,0.163246526,0.164158454,-0.293046997,0.534507858,0.029547068,0.161016619
chr2,210615088,210629493,1.260602026,-0.392171692,0.317847316,0.698105808,0.49138839,0.731459326,0.215721267,0.83977858,-0.603055978,-0.268312692
chr2,211341548,212768222,0.084389017,0.261853202,-0.21632726,-0.560282787,-0.711023457,-0.064589497,-0.020898378,-0.429589921,-0.03160775,-0.076124822
chr2,212848753,213689005,-0.599545255,0.5645149,0.144817363,0.021835685,-0.008046536,-1.044238137,-0.072880361,-0.453315107,-0.166009966,-0.762723233
chr2,214694097,216622517,0.25373501,-0.342962393,-0.360025071,0.087905903,-1.100948057,-0.017056203,-0.784201054,-1.121123341,0.234943797,0.698275652
chr2,218142577,220682287,-1.296630398,-0.103443567,0.689437997,0.364846243,0.427576568,-0.297027911,-0.89610506,-0.433395692,0.346494866,-0.171921622
chr2,220738012,221902215,0.20163403,-0.091284927,-0.079698992,-0.078666975,0.755461004,-0.287039494,-0.590538467,0.13514228,0.280853655,0.25996694
chr2,223276338,223805573,0.09785898,-0.410924865,1.318952925,0.538219482,-0.405453474,-0.88677802,-1.097262303,-1.001882667,-0.446155575,0.105913366
chr2,224401767,225618705,0.056711649,0.827904206,-0.588407327,0.30421316,0.894558323,0.055715528,-0.228830205,0.13534115,0.757010107,0.084711864
chr2,231832607,232071302,0.445016254,0.132453837,-0.20561999,-0.207425809,-0.834340002,0.288248804,0.097327717,0.228865992,-0.012747398,-0.105819605
chr2,236009607,236465754,-0.762083894,0.085882681,0.709837117,1.348815051,-0.774471356,-0.295853375,-0.317830766,-0.192783012,-0.532440742,0.351021577
chr2,236618381,237570980,0.871833707,-0.515718554,-0.586436108,-0.055353691,-0.558544976,0.110343396,0.663185842,-0.247245106,0.385267721,0.142769037
chr2,238941032,239883369,0.952689839,-0.319920837,-0.610645764,0.139399152,0.020255816,0.476447047,0.063218299,0.612225351,1.474530226,-0.528571191
chr2,242477314,242793580,-0.614933555,0.36959645,-0.058509182,-0.293674376,-0.383692622,0.110406135,-0.843194435,0.139200012,-0.704401862,-0.045703341
chr3,410567,1321654,-0.085900573,-0.029778881,0.33382773,0.127298448,-0.288031143,1.00824135,0.424691332,0.750917956,0.010779949,0.48413601
chr3,1365601,4003178,0.114675714,-0.209911522,0.141395574,-0.912929838,-0.409592923,-0.577360836,-0.347703801,-0.75995442,0.082361691,-0.130406164
chr3,6079488,9179930,-0.72903361,0.122957229,0.098526368,0.2487554,0.13687045,0.997775716,-0.953504381,-0.299824774,-0.656055299,1.440915207
chr3,9481368,11197470,-0.207715301,-0.718347823,0.197074178,-0.422866277,0.257750235,-0.276177635,0.243927998,-0.480616389,0.604864622,0.325862385
chr3,12534310,13641609,0.217946685,0.403078385,-0.121211618,0.549422627,0.30699407,-0.023632634,-0.551522723,0.448418083,-0.845007478,-0.62768824
chr3,14626159,16028319,-0.465965416,-0.135937964,-0.625632423,-0.571880231,0.305361008,-0.134232524,1.027233277,-0.519922327,0.191231474,-0.526768536
chr3,16089329,18379970,-0.541971978,-0.116054393,-0.014558581,0.150515336,0.184755622,0.644632513,-0.243569538,0.48519376,0.531033142,-0.511405121
chr3,19838943,21048721,0.220081954,-0.84448269,0.923185959,-0.243002896,-0.453951597,0.39598018,0.598615113,0.253741009,-0.487711164,-0.02451512
chr3,21225182,22817410,0.89616867,-0.26871253,-0.040906956,-0.901717342,0.133474533,-0.012102772,-0.089347483,-0.048671612,0.169635628,0.541746402
chr3,24215911,26398163,-0.143172263,0.419448131,0.578729847,0.293047699,-0.04518175,0.050408709,0.621076353,-0.437970077,0.143274883,-0.502482529
chr3,27864688,28414659,-0.312956306,0.225503567,0.3069205,0.339894356,-0.589820118,0.511585582,-0.299774792,-0.13139843,-0.142556569,-0.13154398
chr3,28564888,29582388,0.040334752,0.294802378,0.356948239,-0.234239343,-0.57236489,0.343698994,-0.355623632,-0.562207037,-0.016641455,-0.135121374
chr3,31992915,32913713,-0.141093832,0.145915198,-0.4636661,-0.221584719,0.502684294,-0.463150302,-0.216288333,-0.787359012,-0.253760605,-0.627042942
chr3,32977845,34959460,0.301018987,-1.130272353,0.056639346,-0.285779042,0.157503764,-0.054056792,-0.563844958,0.888237501,-0.243702533,0.016393892
chr3,38336847,38377038,0.225811034,-0.150635836,-0.049272058,-0.446903695,0.216036907,0.257149051,0.118203887,-0.055900794,-0.446379224,-0.066549051
chr3,41436565,41588307,0.032144946,0.229826822,-0.198207782,-0.908328714,1.174084648,-0.224284634,0.687402129,-0.218898195,0.867702183,0.446908894
chr3,43336600,45996602,-0.142714004,0.790333973,-0.070404813,-0.011911608,0.421506116,0.975364223,-0.601185577,-0.084543889,-0.106982171,0.582846354
chr3,47026697,48479123,-0.071077317,-0.382598534,-0.029253101,-0.071342422,0.24005203,-0.519631461,0.343661898,0.693423712,0.747055791,0.835306813
chr3,50995430,52660240,0.064464148,-0.086757611,0.055851567,0.228632851,0.651834424,-0.048189401,-0.373335792,0.277317659,0.817541872,0.555667157
chr3,52957533,55025256,0.456896661,-1.246977043,-0.230977115,0.538307615,-0.588962398,0.434440193,-0.344545931,-0.558187652,-0.399415867,0.278776233
